 Molecules IDs (A, B) at every time frame where the angle H_{A}O_{A}O_{B} is less than 30 degree

 no. of trajectory at every 10 fs	molecule ID A	molecule ID B	distance O_{B}O_{A} (A)	distance H_{A}O_{B} (A)	Theta of H_{A}O_{A}O_{B} (degree)
          34         237         240   1.09409440       1.01717412       29.0546246    
          34         253         256   1.27275443       1.07744884       23.6016407    
          35           5           8  0.777278900       1.03931987       28.9591713    
          35          13          16   1.22225463       1.05724776       27.7602959    
          35          33          36   1.43711722       1.06600642       28.7643833    
          35          53          56  0.865540624      0.998482704       27.6986103    
          35          97         100  0.751072466       1.04816151       27.5489349    
          35         109         112   1.23895502       1.03038955       20.5167198    
          35         149         152   1.94994962       1.03418732       25.6437073    
          35         161         164  0.897186875       1.07487798       25.6632824    
          35         189         192   1.59994543       1.01121604       29.1700287    
          35         201         204   1.73093081       1.05889463       28.7726269    
          35         225         228   1.84095478       1.07034397       29.0664387    
          35         237         240   1.01560688       1.08929670       28.6140461    
          35         253         256   1.29836416       1.01499844       29.0930500    
